OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
PWY-5973	18325	20505	19358	17463	16308	18836	16369	18624	17667	18781	12940	18182	13545	18104	17236	17057	17820	17046
PWY-5989	7070	9255	7212	5622	3010	1708	4820	3846	4151	3982	1915	9077	1769	4983	7433	5504	4507	3482
PWY-6071	93	12	68	99	27	5	30	8	32	15	25	77	19	5	0	83	168	112
PWY-6107	5	4	0	0	9	7	2	23	0	0	0	5	12	0	12	25	0	7
PWY-6121	19255	17597	18320	18207	21343	22072	20115	21132	19643	22264	23953	17894	23845	20024	19580	18601	18904	21274
PWY-6122	19554	17448	18518	18564	21898	22509	20106	21000	19209	22676	24542	17562	24208	20076	19647	18832	19121	21223
PWY-6123	17324	15609	15708	16347	19850	20171	18441	18283	16692	20214	22736	15590	22276	17461	17726	16921	16714	18937
PWY-6125	16571	16452	16233	16888	19181	20129	17936	17028	16654	18713	21362	16104	21020	16450	16277	17224	16994	17680
PWY-6126	18654	17901	17897	18544	21411	22332	19887	19354	18417	21064	23766	17843	23393	18536	18791	18911	18999	19954
PWY-6145	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147	14007	13531	13014	14380	18242	18518	15984	14889	15603	17093	19961	14384	19983	13669	14710	14881	13749	15698
PWY-6148	10	0	0	0	0	0	14	0	0	0	0	28	0	0	15	0	0	0
PWY-6151	4917	3118	5992	2851	2795	3207	4228	7481	6096	4458	3100	4300	5113	7984	5913	3248	6380	6829
PWY-6163	16588	15377	15588	15797	18830	16358	17335	17187	15724	18373	21194	15194	20744	16401	16716	16303	16259	17767
PWY-6174	249	87	119	276	93	0	47	91	116	31	151	630	0	67	55	94	151	23
PWY-6182	331	134	214	230	131	45	111	177	134	12	19	326	20	72	62	61	291	108
PWY-6185	56	8	30	51	8	3	43	3	16	1	6	43	7	5	0	21	75	61
PWY-621	1448	1132	1221	433	301	967	644	743	927	647	359	1709	572	707	1929	1329	912	809
PWY-6210	54	17	13	1	76	16	56	50	24	0	24	69	7	29	35	25	12	46
PWY-622	0	23	73	42	21	35	0	15	0	9	35	0	54	9	8	0	9	0
PWY-6263	3797	3979	5872	3897	3681	3320	3505	5793	3670	4905	3763	4127	4587	3282	3267	4061	6100	4075
PWY-6269	4778	4988	3471	4250	2444	2125	2275	3071	2902	3025	2207	4425	1687	1561	3990	5747	3320	2934
PWY-6277	19433	17646	18501	18295	21538	22505	20311	20800	19205	22602	24666	17770	23939	19801	19478	19020	19048	21223
PWY-6282	6732	9224	7123	5620	2962	1662	4719	3859	4114	3917	1946	8811	1775	4862	7156	5232	4349	3449
PWY-6317	4139	4630	5628	5092	2973	3358	4226	3929	3417	2603	2495	4395	2107	5280	4873	4773	4926	4113
PWY-6338	569	66	288	276	142	25	199	213	0	8	65	418	43	86	94	75	438	36
PWY-6339	902	0	690	476	251	73	359	428	0	21	174	738	0	254	164	181	763	0
PWY-6353	7744	7409	10332	8058	7059	7201	8880	8397	10002	7602	5903	9178	4993	11742	8680	7207	9155	7760
PWY-6383	269	180	316	671	98	87	51	110	255	66	105	169	103	255	100	1097	325	2
PWY-6385	16161	14161	14942	15254	18610	18531	17231	17211	16014	18767	20927	14937	20502	16305	16900	15760	15865	17890
PWY-6386	15958	14237	14819	15353	18442	18214	17229	17335	15992	19332	20829	14974	20448	16246	16745	15694	15859	17869
PWY-6387	16471	15117	15432	16032	18794	19345	17529	17526	16343	19195	21115	15485	20583	16521	16752	16330	16198	18028
PWY-6396	697	567	717	639	342	468	321	433	465	131	311	561	128	332	385	539	626	613
PWY-6397	0	0	0	15	0	0	0	0	0	0	9	0	7	0	0	0	0	0
PWY-6404	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
PWY-6467	7425	9257	8579	6663	7052	5438	7156	7999	6334	6833	5004	8152	5411	8318	6277	6309	8586	6751
PWY-6470	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	24	11	0
PWY-6471	38	13	377	0	29	42	15	0	0	41	61	230	0	507	0	44	110	113
PWY-6478	1295	1534	3013	1291	532	1325	1967	1499	1695	498	1279	876	914	4206	1455	1092	3199	1812
PWY-6505	146	35	44	1	106	29	118	105	50	6	54	139	19	61	94	58	31	91
PWY-6507	439	608	867	621	569	426	429	650	392	261	546	468	166	651	604	608	745	605
PWY-6519	5706	5357	5548	4508	2795	1679	4091	4096	4234	3901	1942	6808	1938	4727	5983	4906	4300	3602
PWY-6545	7673	10992	10275	8714	8096	13008	8832	10842	12738	11453	6605	9861	10118	9946	6410	9228	10075	10183
PWY-6562	584	309	473	471	549	346	627	1113	434	525	431	992	501	762	1481	576	647	1005
PWY-6565	398	4	11	5	10	24	90	35	25	10	65	1049	27	107	1748	0	0	104
PWY-6572	8	0	0	0	3	1	10	0	0	16	2	0	0	0	0	0	0	0
